Kategori,Gejala
a,Gigi sensitif
a,gigi berlubang
a,"timbul bercak putih, cokelat, dan kehitaman pada gigi"
a,muncul nyeri saat makan
a,timbul bercak putih pada gigi
a,timbul bercak cokelat pada gigi
a,timbu bercak kehitaman pada gigi
a,"Pertama, faktor bentuk gigi. Gigi anak tidak semuanya rata, pasti ada celah buat penumpukan bakteri penyebab grigis di gigi. Alhasil gigi geraham sering banget jadi sasaran empuk karies"
a,"Kedua, bisa disebabin dari faktor jumlah saliva atau air ludah. Semakin sedikit saliva semakin gede juga kemungkinan si kecil KENA karies gigi"
a,ternyata faktor waktu itu juga berpengaruh. Karies lubang terbentuk biasanya kalo udah didiemin lama ya. Sementara kalo jangka waktu cepeet bakal nimbulin karies rampan atau kalo kita lihat lebih ke warna coklat dan mulai mengikis gigi
a,Dok gigi bolong karena karies bisa dijaga supaya ga makin menjadi ga sih? Gigiku rontok satu persatu karena karies.
a,Telat mencabut gigi bungsu itu bisa memicu penumpukan makanan di sela kedua gigi yang berakibat membuat karies (lubang) yang dalam sehingga malah harus dicabut keduanya
a,Penyebab utama karies gigi adalah asid yang terhasil dari tindakbalas antara gula& bakteria dlm mulut. Asid tersebut melarutkan struktur gigi perlahan2 & berulang2 hingga terbentuk lubang
a,Karies gigi terutama timbul akibat kurang menjaga kebersihan gigi. Sisa makanan yang bertahan cukup lama di gigi akan diubah menjadi asam oleh bakteri alami mulut. Zat asam kemudian akan memicu kerusakan gigi.
a,karies gigi bisa menular lewat droplet air liur yang membawa bakteri Streptococcus mutans. Droplet air liur bisa sampai ke anak biasanya lewat penggunaan alat makan bergantian semisal orang tua dan anak makan sepiring bersama dan dengan sendok yang sama
a,ada seperti noda hitam tapi berada didalam gigi
a,gigi bawah bagian tengah mengalami renggang
a,timbulnya noda pada gigi yang menyebabkan perubahan warna
a,gigi sedikit demi sedikit terkikis dan akhirnya berlubang atau bahkan lepas
a,ada gigi bungsu yang terhimpit
a,ada warna kehitaman dalam gigi saya
a,gigiku mulai banyak yang rontok
a,ada yang bolong pada gigiku
a,gigiku bolong
a,Gusi yang turun membuat gigi terlihat lebih panjang
a,Gusi meradang
a,Gigi yang berlubang terasa sakit bila masuk makanan
a,Bentuk gusi agak membulat/tumpul
,
,
,
,
,
b,Terdapat lapisan kotoran yang mengeras berwarna kuning atau kecoklatan di garis gusi
b,Rasa kasar di permukaan gigi
b,Bau mulut
b,Pembengkakan serta kemerahan di gusi
b,Gejala awal adanya karang gigi hanya gusi berdarah dan kadang terasa seperti gusi yg gatal
b,kalo ada kaya kerak warna coklat di gigi tuh kenapa ya? udah coba pake mouthwash ga ilang
b,"selama ini gigi kerasa kasar terus juga gusi bengkak kirain bakalan fine aja 
karena udah di obatin, eh taunya jadi karang gigi"
b,Plak atau lapisan kotoran yang menempel
b,Plak atau lapisan kotoran mengeras
b,gigi berubah warna karena adanya pengelompokan plak
b,muncul lapisan tipis dan lengket  pada garis gusi yang disebabkan oleh bakteri atau sisa makanan
b,muncul plak berwarna putih kekuningan
b,rasa nyeri yang intens dan tajam
b,mulutku berbau busuk
b,ada suatu lapisan yang menempel pada gigiku
b,ketika aku mencoba meraba bagian gigi dengan lidah dan merasakan seperti ada lapisan antara gigi dengan air liur
b,muncul lapisan yang mengeras diatas gusi
b,gigiku terasa kasar
b,"Mengonsumsi makanan atau minuman dengan kadar gula yang tinggi, seperti permen, kue, atau minuman bersoda"
b,dekat gusi ada sesuatu berwarna kuning
b,ada sesuatu yang menempel diantara gigi dan gusi
b,bau nafas yang menyengat
,
,
,
,
c,Demam
c,Pembengkakan gusi
c,"Sakit gigi yang menyebar ke telinga, rahang dan leher"
c,Bau mulut
c,Pembengkakan kelenjar getah bening di leher atau bawah rahang
c,Sesak napas
c,gigi bernanah yg dpt menjalar ke bagian tubuh lain.
c,hari ini demam 
c,plus sakit gigi yang nyerinya sampe ke telinga 
c,"Gabisa ngunyah makanan, gigi bengkak. Tapi kalo ga makan lambung kena"
c,baru kali ini sakit gigi nyerinya sampe ke leher
c,Abses gigi adalah terbentuknya kantung berisi nanah
c,gigi muncul benjolan berisi nanah pada gigi
c,Gigi berubah warna padahal  rajin sikat gigi
c,tenggorokan tiba-tiba bengkak
c,timbul rasa nyeri di mulut yang menyakitkan
c,nyeri di gigi tiap jam tambah parah
c,gigi sulit untuk mengunyah makanan secara normal
c,susah menelan makanan
c,muncul nyeri saat minum minuman panas
c,gigi terasa nyeri saat diketuk
c,kesulitan membuka mulut sepenuhnya
c,ada pembekakan pada wajah
c,wajahku bengkak
c,gigiku nyeri sampai ke telinga
c,nyeri tiba-tiba dibagian gusi
c,"Gusi mengkilat, merah dan bengkak"
c,lidah mengecap rasa aneh
c,pipi nyeri ketika berbaring
c,Bibir terasa perih
c,Bibir mudah berdarah
c,Gigi berjejal
c,Nyeri saat luka tersentuh
c,Nyeri saat mengigit
c,gigiku terasa cenut-cenut pada saat makan
c,sepanjang hari gigiku nyeri
,
,
,
,
d,Gusi mudah berdarah ketika menyikat gigi atau membersihkan sela gigi
d,Gusi bengkak dan muncul rasa sakit
d,nyeri saat mengunyah makanan
d,terdapat nanah antara gigi dan gusi
d,Gusi menyusut sehingga akar gigi terlihat
d,gusi terasa sakit lagi lagi bila scaling dilakukan.
